no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
1915,1908,이야기 가게 ,자현 글 ;차영경 그림,나무의말,2024,9791198860514,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/35160/79/cover200/k222934113_1.jpg,https://data4library.kr/bookV?seq=6972256,665
1916,1916,손톱 먹은 쥐 ,글: 천희순 ;그림: 조승연,그레이트kids(그레이트키즈),2016,9788927186137,74810.0,38.0,813.5,문학 > 한국문학 > 소설,,https://data4library.kr/bookV?seq=3141243,664
1917,1916,"출동, 고양이 요원 캣스코",박주혜 글 ;홍그림 그림,김영사,2022,9788934966876,74810.0,3.0,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31404/25/cover/8934966874_1.jpg,https://data4library.kr/bookV?seq=6666459,664
1918,1916,(기괴하고 요상한) 귀신딱지,라곰씨 글 ;차차 그림,부즈펌,2019,9791187504900,74810.0,1.0,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/20063/95/cover/k852635242_1.jpg,https://data4library.kr/bookV?seq=5455930,664
1919,1916,다 하지 못한 말 :임경선 소설 ,지은이: 임경선,토스트,2024,9791197346521,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33657/58/cover/k162939528_1.jpg,https://data4library.kr/bookV?seq=6848081,664
1920,1920,로기완을 만났다 :조해진 장편소설 ,지은이: 조해진,창비,2024,9788936434649,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33406/61/cover/8936434640_1.jpg,https://data4library.kr/bookV?seq=6831808,663
1921,1920,카타리나 블룸의 잃어버린 명예 :혹은 폭력은 어떻게 발생하고 어떤 결과를 가져올수 있는가 ,하인리히 뵐 [지음] ;김연수 옮김,민음사,2008,9788937461804,4800.0,180.0,853.0,문학 > 독일문학 > 소설,http://image.aladin.co.kr/product/222/44/cover/8937461803_2.jpg,https://data4library.kr/bookV?seq=2429051,663
1922,1920,구름빵 이빨 빠진 날 ,"글·그림: GIMC,김향수",한솔교육,2012,9788953584037,74800.0,7.0,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/068/656/06865625.jpg?type=m1&udate=20160405,https://data4library.kr/bookV?seq=2373880,663
1923,1920,식빵집 ,지음: 백유연,봄봄(봄봄출판사),2021,9791188909575,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/26551/26/cover/k522738836_1.jpg,https://data4library.kr/bookV?seq=5928965,663
1924,1920,칙칙팥팥 ,글: 콩양신쨔오 ;옮김: 남은숙,키위북스,2023,9791191748772,77820.0,,823.7,문학 > 중국문학 > 소설,https://image.aladin.co.kr/product/32930/71/cover/k342936948_1.jpg,https://data4library.kr/bookV?seq=6796212,663
1925,1920,여름어 사전 ,지은이: 아침달 편집부,아침달,2025,9791194324799,2810.0,,818.0,문학 > 한국문학 > 르포르타주 및 기타,https://image.aladin.co.kr/product/36599/16/cover200/k462030767_1.jpg,https://data4library.kr/bookV?seq=7079406,663
