no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
1536,1536,별 조각 상점 ,글·그림: 토마쓰리,웅진씽크빅,2024,9788901281728,74810,117,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33850/46/cover200/8901281724_1.jpg,https://data4library.kr/bookV?seq=6869298,767
1537,1536,연잎 부침 :백유연 그림책 ,글·그림: 백유연,웅진씽크빅,2024,9788901283357,74810,120,813.7,문학 > 한국문학 > 소설,https://shopping-phinf.pstatic.net/main_4770403/47704037630.20240513201456.jpg,https://data4library.kr/bookV?seq=6878735,767
1538,1538,토토의 무지개 왕국 ,서피랑 글 ;홍그림 그림,김영사,2023,9788934951407,73810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32146/81/cover/8934951400_1.jpg,https://data4library.kr/bookV?seq=6739931,766
1539,1538,이게 정말 사과일까? ,요시타게 신스케 글·그림 ;고향옥 옮김,김영사,2014,9788934968726,77830,,833.6,문학 > 일본문학 > 소설,http://image.aladin.co.kr/product/4766/67/cover/8934968729_2.jpg,https://data4library.kr/bookV?seq=2614588,766
1540,1538,문 밖에 사자가 있다 ,윤아해 글 ;조원희 그림,뜨인돌출판,2023,9788958079484,77810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/30960/68/cover/8958079487_1.jpg,https://data4library.kr/bookV?seq=6629499,766
1541,1538,눈물을 마시는 새,이영도 지음,황금가지,2003,9788982735769,04810,3,813.6,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/001/202/00120219.jpg?type=m1&udate=20130629,https://data4library.kr/bookV?seq=2390973,766
1542,1538,청소 특공대 다람단,글·그림: 문채빈,미래엔,2023,9791168417663,74810,2,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33330/18/cover/k772938599_1.jpg,https://data4library.kr/bookV?seq=6825593,766
1543,1543,책 먹는 여우와 이야기 도둑 :《책 먹는 여우》두 번째 이야기 ,프란치스카 비어만 글·그림 ;송순섭 옮김,김영사,2015,9788934969952,73850,,853,문학 > 독일문학 > 소설,http://image.aladin.co.kr/product/15652/88/cover/k352533034_1.jpg,https://data4library.kr/bookV?seq=2430582,765
1544,1543,곰 생각 벌 생각 :박하잎 그림책 ,글·그림: 박하잎,창비,2024,9788936429263,77810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34043/37/cover200/8936429264_1.jpg,https://data4library.kr/bookV?seq=6883828,765
1545,1545,미안하고 고맙고 사랑해 ,김영진 글·그림,길벗어린이,2016,9788955823486,77810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/8080/33/cover/8955823487_1.jpg,https://data4library.kr/bookV?seq=3139926,764
1546,1545,환생학교 요괴반 :웃소의 판타지 미션 코믹북,원작: 웃소 ;그림: 파키나미,미래엔,2023,9791168415560,77810,1,810,문학 > 한국문학 > 한국문학,https://image.aladin.co.kr/product/31930/19/cover/k022833953_1.jpg,https://data4library.kr/bookV?seq=6716544,764
1547,1545,(타키·포오의) 이세계 여행사,원작: 캐릭온TV ;그림: 이지운,대원키즈,2023,9791172883690,77810,7,810,문학 > 한국문학 > 한국문학,https://image.aladin.co.kr/product/34648/9/cover200/k392933790_1.jpg,https://data4library.kr/bookV?seq=6947952,764
1548,1545,다다다 다른 별 학교 ,글·그림: 윤진현,천개의바람,2018,9791187287827,77810,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/138/832/13883276.jpg?type=m1&udate=20180810,https://data4library.kr/bookV?seq=3866691,764
